layer, center, hexagon,,,,,,, binCount, mdtCount, population
1,POINT (105.86397611562123 21.026855877648206),POLYGON ((105.865088655268 21.028654514766153, 105.86620116806341 21.02685586317847, 105.8650886284178 21.025057233295385, 105.86286360282466 21.025057233295385, 105.86175106317906 21.02685586317847, 105.86286357597446 21.028654514766153, 105.865088655268 21.028654514766153)),1,1,0
1,POINT (105.8472883833105 21.032251571981654),POLYGON ((105.84840096324152 21.034050209098588, 105.84951351631265 21.032251557507855, 105.84840093638279 21.030452927627824, 105.8461758302382 21.030452927627824, 105.84506325030833 21.032251557507855, 105.84617580337947 21.034050209098588, 105.84840096324152 21.034050209098588)),2,2,85.2230961
1,POINT (105.85062616339836 21.034050245291116),POLYGON ((105.85173875676112 21.035848882407706, 105.85285132326116 21.034050230815957, 105.85173872989957 21.032251600936945, 105.84951359689717 21.032251600936945, 105.84840100353556 21.034050230815957, 105.8495135700356 21.035848882407706, 105.85173875676112 21.035848882407706)),4,6,224.7652908
1,POINT (105.86397611562123 21.023258596177147),POLYGON ((105.8650886284178 21.025057233295776, 105.86620111436866 21.02325858171013, 105.86508860157328 21.021459951825015, 105.86286362966918 21.021459951825015, 105.86175111687379 21.02325858171013, 105.86286360282466 21.025057233295776, 105.8650886284178 21.025057233295776)),1,1,90.91304348
1,POINT (105.85730067630521 21.041245068671095),POLYGON ((105.85841332341012 21.043043705786328, 105.85952594364092 21.04124505419051, 105.85841329653718 21.039446424315567, 105.85618805607325 21.039446424315567, 105.85507540896951 21.04124505419051, 105.85618802920031 21.043043705786328, 105.85841332341012 21.043043705786328)),0,null,null
1,POINT (105.84728838331048 21.03944613492375),POLYGON ((105.84840101697603 21.041244772039324, 105.84951362377029 21.039446120444524, 105.84840099010594 21.037647490568563, 105.84617577651505 21.037647490568563, 105.84506314285069 21.039446120444524, 105.84617574964497 21.041244772039324, 105.84840101697603 21.041244772039324)),3,3,264.3994202
1,POINT (105.86063869802811 21.028654420741766),POLYGON ((105.86175125110138 21.03045305785938, 105.86286377732044 21.02865440627068, 105.86175122424834 21.026855776388615, 105.85952617180787 21.026855776388615, 105.85841361873575 21.02865440627068, 105.85952614495483 21.03045305785938, 105.86175125110138 21.03045305785938)),4,6,91.71841261
1,POINT (105.84395064351784 21.03405018014984),POLYGON ((105.84506323688012 21.035848817266437, 105.84617580337968 21.034050165674685, 105.84506321001855 21.032251535795673, 105.84283807701712 21.032251535795673, 105.841725483656 21.034050165674685, 105.84283805015556 21.035848817266437, 105.84506323688012 21.035848817266437)),2,2,0.195652174
1,POINT (105.85396277530177 21.03584917904407),POLYGON ((105.85507538209963 21.037647816160323, 105.85618796203192 21.03584916456756, 105.85507535523521 21.034050534689563, 105.85285019536829 21.034050534689563, 105.85173758857158 21.03584916456756, 105.85285016850388 21.037647816160323, 105.85507538209963 21.037647816160323)),1,1,31.81481481
1,POINT (105.86731357347692 21.02145992289212),POLYGON ((105.86842607285028 21.02325856001108, 105.86953854538078 21.02145990842645, 105.8684260460086 21.019661278540315, 105.86620110094526 21.019661278540315, 105.86508860157308 21.02145990842645, 105.86620107410357 21.02325856001108, 105.86842607285028 21.02325856001108)),0,null,null
1,POINT (105.85396277530175 21.039446460515112),POLYGON ((105.85507540896971 21.041245097630686, 105.85618801576642 21.039446446035885, 105.85507538209963 21.03764781615993, 105.85285016850388 21.03764781615993, 105.85173753483708 21.039446446035885, 105.8528501416338 21.041245097630686, 105.85507540896971 21.041245097630686)),2,3,193.8674126
1,POINT (105.86063869802808 21.025057139270714),POLYGON ((105.86175122424834 21.02685577638901, 105.86286372362004 21.025057124802345, 105.86175119740096 21.023258494918245, 105.85952619865523 21.023258494918245, 105.85841367243617 21.025057124802345, 105.85952617180787 21.02685577638901, 105.86175122424834 21.02685577638901)),3,4,272.736982
1,POINT (105.86397615588236 21.019661249610124),POLYGON ((105.8650886418339 21.02145988672943, 105.86620110094546 21.019661235145815, 105.86508861499506 21.017862605258664, 105.86286369676962 21.017862605258664, 105.86175121081924 21.019661235145815, 105.86286366993079 21.02145988672943, 105.8650886418339 21.02145988672943)),3,3,181.6786575
1,POINT (105.84395088519528 21.02325833575502),POLYGON ((105.84506339798988 21.025056972873642, 105.84617588393881 21.023258321287997, 105.84506337114536 21.02145969140288, 105.84283839924515 21.02145969140288, 105.8417258864517 21.023258321287997, 105.84283837240064 21.025056972873642, 105.84506339798988 21.025056972873642)),3,3,22.68832495
